entity_id	valid	rejected	polled	electors	UNP	SLFP	SLMP
LG-12015	19592	227	19819	26939	8183	10829	580
LG-12016	7858	106	7965	10936	4463	3092	304
LG-12017	15151	222	15373	20620	7757	6845	549
LG-12018	2554	35	2588	3290	1240	1254	59
LG-12019	8856	163	9019	12641	4653	3930	274
LG-12020	9486	139	9625	13321	4321	4620	545
LG-12021	41349	560	41908	57541	23482	16269	1597
LG-12022	41024	600	41624	55832	21003	18534	1487
LG-12023	52704	742	53446	68377	25792	25857	1055
LG-12024	55621	860	56481	78953	26835	27712	1074
LG-12025	58025	790	58816	74766	28184	28497	1345
LG-12026	59475	735	60210	79172	22242	35758	1475
LG-12027	42535	494	43029	58485	17765	23511	1259
LG-12028	48288	889	49177	68925	25368	21427	1492
LG-12029	58736	735	59471	79936	26024	30305	2407
LG-12030	57960	511	58471	72945	26155	30829	976
LG-12031	49081	685	49766	66166	23930	23633	1518
LG-12032	37486	551	38037	52640	17074	18257	2155
LG-13033	10289	151	10439	14756	4276	5344	668
LG-13034	2922	37	2959	4112	1414	1429	79
LG-13035	9649	236	9885	15409	4578	4552	519
LG-13036	9943	160	10103	16817	4703	5022	218
LG-13037	51002	754	51756	72470	21576	26274	3153
LG-13038	32855	518	33373	43779	15508	16002	1345
LG-13039	46401	595	46996	65293	22454	22687	1260
LG-13040	11886	276	12162	18181	5860	5793	233
LG-13041	22334	518	22852	34160	11011	10885	437
LG-13042	21636	401	22037	39431	10027	11141	468
LG-13043	17025	315	17340	31026	7890	8767	368
LG-13044	37886	925	38811	60503	17973	17873	2040
LG-13045	33458	540	33998	56591	15826	16898	734
LG-13046	12112	202	12314	27459	5862	5900	350
LG-13047	9897	189	10086	19694	4824	4822	251
LG-13048	15693	248	15941	20911	7407	7643	643
LG-13049	13025	217	13241	29527	6303	6345	376
LG-21050	35481	498	35979	53515	19855	14600	1026
LG-21051	5093	85	5179	6793	2913	2103	78
LG-21052	5672	67	5739	9643	2675	2901	95
LG-21053	12652	148	12800	15867	7100	5432	120
LG-21054	6871	88	6959	9087	4072	2706	94
LG-21055	27950	263	28213	39671	15071	12549	330
LG-21056	23725	400	24125	39157	12777	10649	299
LG-21057	17400	294	17694	28718	9371	7810	219
LG-21058	15895	268	16164	26234	8560	7135	200
LG-21059	22196	371	22567	29602	12694	9163	338
LG-21060	8494	142	8636	11328	4858	3506	129
LG-21061	7510	117	7626	11298	3640	3771	98
LG-21062	17312	269	17582	26047	8392	8695	226
LG-21063	19576	339	19915	27659	9912	9417	247
LG-21064	27782	407	28189	48841	15231	12118	433
LG-21065	34001	373	34374	42868	19688	14015	298
LG-21066	16508	207	16715	24669	8708	7364	436
LG-21067	25020	295	25315	42539	11803	12798	420
LG-21068	27317	550	27867	50223	16582	10420	315
LG-21069	34585	408	34993	43582	19504	14742	340
LG-21070	18135	231	18366	23981	10746	7141	248
LG-21071	12794	163	12957	16918	7581	5038	175
LG-22072	1054	14	1068	10045	592	443	19
LG-22073	5890	137	6028	14479	3719	2042	130
LG-22074	1308	18	1326	12471	735	549	24
LG-22075	3100	42	3141	29545	1742	1302	56
LG-22076	2146	29	2175	20455	1206	901	39
LG-22077	3227	35	3262	7297	1607	1581	38
LG-22078	6371	69	6440	14406	3173	3122	76
LG-22079	2585	28	2613	5846	1288	1267	31
LG-22080	5997	65	6062	13561	2987	2938	71
LG-22081	7925	185	8109	19479	5003	2747	174
LG-22082	5581	130	5711	13717	3523	1935	123
LG-22083	10168	177	10346	30570	6239	3740	190
LG-22084	7605	131	7736	23069	4660	2805	141
LG-23085	1332	31	1363	1757	909	383	40
LG-23086	695	16	711	916	474	200	21
LG-23087	1307	30	1337	1723	892	376	39
LG-23088	8189	188	8377	10802	5589	2357	243
LG-23089	13149	302	13451	17344	8974	3785	390
LG-23090	15955	366	16321	21045	10889	4593	474
LG-23091	11005	253	11257	14515	7510	3168	327
LG-23092	9486	218	9703	12512	6473	2731	282
LG-23093	16035	368	16403	21151	10943	4616	476
LG-23094	31643	401	32044	39194	17822	13549	272
LG-23095	37129	576	37705	44596	22748	14011	370
LG-23096	33022	530	33552	44214	18099	14519	404
LG-31097	31842	537	32379	47586	16314	14791	737
LG-31098	1524	33	1556	10920	718	754	51
LG-31099	6714	118	6832	15798	2994	3449	271
LG-31100	8922	162	9084	41220	5093	3475	354
LG-31101	4892	103	4995	32172	2292	2432	169
LG-31102	3200	48	3247	15167	1333	1806	60
LG-31103	6814	102	6916	32300	2840	3847	127
LG-31104	9177	129	9305	28226	3782	5188	207
LG-31105	11885	167	12052	36557	4898	6719	268
LG-31106	10002	165	10167	14462	4878	4948	176
LG-31107	11388	188	11576	16466	5554	5634	200
LG-31108	19549	322	19871	27537	9022	10169	358
LG-31109	12185	200	12385	18049	5922	6047	216
LG-31110	24133	401	24534	39566	10219	13428	486
LG-31111	17781	292	18072	24023	7487	9948	346
LG-31112	18557	327	18884	43665	8276	9532	748
LG-31113	24531	223	24755	35045	10239	13889	403
LG-31114	21561	240	21801	31176	9539	11629	393
LG-31115	12747	183	12930	25676	4811	7669	267
LG-31116	17719	255	17974	35693	6689	10660	370
LG-32117	20782	340	21122	44020	7928	12104	750
LG-32118	4779	97	4876	12643	1854	2830	95
LG-32119	8265	144	8409	22261	3875	4178	211
LG-32120	10213	178	10391	27510	4789	5163	261
LG-32121	927	18	945	12682	250	644	33
LG-32122	1257	22	1280	28733	583	656	18
LG-32123	4169	73	4242	31124	1950	2124	96
LG-32124	2465	75	2540	18046	1438	943	84
LG-32125	4038	122	4160	29558	2356	1545	137
LG-32126	2660	80	2740	19472	1552	1017	91
LG-32127	935	17	952	18463	372	543	20
LG-32128	1872	36	1908	25606	506	1300	67
LG-32129	1533	29	1562	20960	414	1064	55
LG-32130	4532	49	4581	29296	2380	2064	88
LG-32131	5135	55	5190	33194	2696	2339	100
LG-32132	9640	157	9797	20418	3678	5614	348
LG-32133	21906	443	22349	57948	8497	12972	437
LG-33134	4344	177	4521	10122	2128	2090	127
LG-33135	915	55	969	3815	449	435	31
LG-33136	8456	415	8871	44827	4274	3933	249
LG-33137	6595	362	6957	36453	3251	3135	209
LG-33138	7350	281	7630	35898	3885	3279	186
LG-33139	7362	385	7747	32506	3710	3425	227
LG-33140	5215	311	5526	21750	2561	2479	176
LG-33141	9307	491	9798	32579	4566	4443	298
LG-33142	12826	523	13349	29885	6282	6170	374
LG-33143	8058	329	8387	18775	3946	3877	235
LG-33144	6362	259	6621	14823	3116	3060	186
LG-33145	5900	241	6141	13747	2890	2838	172
LG-41146	14736	717	15454	79869	4464	5209	5063
LG-41147	1801	67	1868	11467	366	749	687
LG-41148	2970	243	3212	12623	823	1232	914
LG-41149	2499	258	2757	12861	573	923	1003
LG-41150	2365	353	2718	2718	635	957	773
LG-41151	1683	81	1764	6719	628	443	611
LG-41152	652	31	683	2602	243	172	237
LG-41153	2853	137	2991	11391	1065	751	1037
LG-41154	11467	1712	13179	13179	3077	4639	3751
LG-41155	5031	242	5273	20083	1878	1325	1828
LG-41156	16619	1142	17761	86452	4576	5424	6619
LG-41157	8132	568	8700	37576	2513	2369	3249
LG-41158	12031	697	12728	53685	2371	5547	4113
LG-41159	7428	327	7756	44807	1596	3086	2747
LG-41160	7610	543	8152	32048	2309	2827	2473
LG-41161	7528	777	8305	38734	1727	2781	3020
LG-41162	4187	244	4430	31296	1011	1699	1477
LG-42166	1708	37	1745	11540	1104	351	254
LG-42167	1865	40	1905	12601	1205	383	277
LG-42168	1444	31	1475	9756	933	297	215
LG-42169	568	12	580	3837	367	117	84
LG-42170	1380	30	1410	9326	892	284	205
LG-43171	1827	68	1896	1896	886	541	400
LG-43172	412	15	427	427	200	122	90
LG-43173	1068	40	1108	1108	518	316	234
LG-43174	2372	89	2461	2461	1151	702	519
LG-43175	469	18	486	486	227	139	103
LG-44176	452	25	477	3213	239	127	86
LG-44177	616	35	651	4379	326	172	118
LG-44178	2756	155	2911	19588	1458	771	527
LG-44179	2032	114	2146	14444	1075	569	388
LG-45163	786	28	814	4028	285	305	195
LG-45164	7798	282	8080	39988	2830	3032	1937
LG-45165	1870	68	1937	9587	678	727	464
LG-51180	19009	605	19614	35433	10652	3037	5320
LG-51181	5433	173	5605	10126	3044	868	1520
LG-51182	8896	283	9180	16583	4985	1421	2490
LG-51183	15854	514	16367	29094	8060	3369	4425
LG-51184	13805	454	14259	25010	6435	3525	3845
LG-51185	5541	182	5723	10038	2583	1415	1543
LG-51186	4710	155	4865	8533	2195	1203	1312
LG-51187	17098	1185	18283	28191	8104	2013	6980
LG-51188	6766	215	6982	12613	3792	1081	1894
LG-51189	6280	200	6480	11707	3519	1003	1758
LG-51190	6952	482	7434	11463	3295	819	2838
LG-51191	10185	706	10891	16793	4828	1199	4158
LG-52192	30220	573	30793	44077	18746	9708	1766
LG-52193	9078	237	9315	12635	4403	3927	748
LG-52194	7400	90	7491	10236	3727	3582	91
LG-52195	18453	225	18679	25526	9294	8932	228
LG-52196	10185	195	10380	14332	4796	4864	525
LG-52197	17885	219	18104	24740	9008	8657	221
LG-52198	6387	78	6465	8835	3217	3091	79
LG-52199	7076	86	7163	9788	3564	3425	87
LG-52200	5609	69	5677	7758	2825	2715	69
LG-52201	5421	140	5560	7307	2915	2118	388
LG-52202	17502	451	17953	23593	9411	6839	1253
LG-52203	4163	107	4271	5612	2239	1627	298
LG-52204	1922	50	1971	2625	992	783	146
LG-52205	9456	249	9705	13540	4129	4453	874
LG-52206	11418	301	11718	16326	5015	5354	1049
LG-52207	6101	161	6261	8736	2664	2873	564
LG-52208	2421	64	2485	3467	1057	1140	224
LG-52209	4574	121	4695	6550	1998	2154	423
LG-52210	7161	189	7349	10254	3127	3372	662
LG-52211	6866	181	7047	9832	2999	3233	634
LG-53212	8626	219	8845	21714	3144	2235	3247
LG-53213	8391	92	8484	12627	4233	2882	1276
LG-53214	2839	44	2883	5240	1353	1399	87
LG-53215	3392	53	3445	6261	1617	1671	104
LG-53216	11646	182	11828	21494	5552	5738	356
LG-53217	1983	31	2014	3659	945	977	61
LG-53218	1837	29	1866	3390	876	905	56
LG-53219	2957	46	3003	5457	1409	1457	90
LG-53220	7536	191	7727	18970	2747	1953	2837
LG-53221	5507	140	5647	13863	2007	1427	2073
LG-53222	6387	84	6471	10611	3107	2322	959
LG-53223	12921	141	13063	19443	6518	4438	1965
LG-53224	6353	69	6423	9561	3205	2182	966
LG-61225	5611	65	5676	11485	2936	2559	117
LG-61226	1531	14	1545	2632	763	746	21
LG-61227	6728	90	6818	14985	3119	3370	240
LG-61228	17320	232	17552	38573	8029	8674	617
LG-61229	10197	133	10330	14358	4657	5081	459
LG-61230	15373	164	15537	39567	8382	6667	324
LG-61231	6615	71	6686	17025	3606	2869	140
LG-61232	9115	118	9233	9233	4132	4531	452
LG-61233	20783	214	20997	59781	12154	8193	436
LG-61234	20605	181	20786	48131	10150	10208	247
LG-61235	24308	259	24567	48087	11747	12131	430
LG-61236	21018	183	21201	30101	10302	10489	227
LG-61237	17607	153	17760	25217	8630	8786	191
LG-61238	29317	389	29706	61644	15140	13662	515
LG-61239	34687	324	35011	59643	17300	16914	474
LG-61240	20364	228	20592	33906	11429	8653	282
LG-61241	18000	202	18202	29971	10103	7648	249
LG-61242	30315	375	30690	51363	13915	15872	528
LG-61243	37720	407	38126	65527	19875	17169	675
LG-61244	21110	209	21319	28996	11216	9588	306
LG-61245	20275	271	20546	44229	11077	8411	787
LG-62246	7816	131	7947	11811	5039	2609	169
LG-62247	7950	111	8061	10755	4257	3579	114
LG-62248	20179	337	20516	30493	13009	6735	435
LG-62249	11410	147	11557	18137	6593	4604	213
LG-62250	3592	49	3641	5655	2123	1400	69
LG-62251	6496	63	6559	10758	3385	3006	105
LG-62252	4014	39	4052	6647	2091	1857	65
LG-62253	20830	201	21030	34497	10853	9639	338
LG-62254	18366	257	18623	25768	10085	7996	285
LG-62255	30092	422	30514	40712	16113	13548	431
LG-62256	41630	388	42018	57526	22194	18585	851
LG-62257	49582	736	50318	66244	28407	20234	941
LG-71258	11973	186	12159	24365	5607	6096	270
LG-71259	8520	184	8704	19141	3350	5022	149
LG-71260	6890	132	7023	14574	2904	3864	123
LG-71261	4055	87	4143	9110	1594	2390	71
LG-71262	4177	90	4268	9385	1643	2462	73
LG-71263	4650	94	4743	15444	1822	2755	73
LG-71264	3748	82	3830	14347	1349	2361	38
LG-71265	4732	105	4837	18249	1766	2915	51
LG-71266	13328	217	13545	37283	5248	7755	326
LG-71267	7423	123	7546	16650	3410	3809	204
LG-71268	14281	201	14482	24893	6864	7192	224
LG-71269	10956	152	11108	18688	5284	5510	163
LG-71270	5068	76	5145	13814	1874	3066	128
LG-71271	6456	97	6553	17596	2387	3906	163
LG-71272	4822	80	4902	15372	2015	2709	98
LG-71273	4242	82	4324	11957	1991	2148	103
LG-71274	3057	77	3134	12210	1498	1505	54
LG-71275	8712	101	8813	28241	3840	4742	129
LG-71276	4067	40	4108	12757	1768	2240	59
LG-72277	5533	109	5642	11166	2956	2464	112
LG-72278	1900	18	1918	20345	987	862	51
LG-72279	2781	26	2807	29783	1446	1261	74
LG-72280	6588	288	6876	31319	4237	2248	103
LG-72281	3662	160	3822	17409	2355	1249	58
LG-72282	5543	109	5653	11188	2962	2469	112
LG-72283	13076	258	13334	26391	6987	5824	265
LG-72284	7998	158	8155	16141	4274	3562	162
LG-81285	4836	104	4940	17968	2796	1779	261
LG-81286	8656	237	8894	14058	4698	3702	257
LG-81287	1897	40	1937	3085	1050	806	41
LG-81288	14972	259	15231	27792	10106	4569	297
LG-81289	10199	176	10375	18932	6884	3113	202
LG-81290	4208	98	4306	4306	2209	1925	74
LG-81291	3676	86	3762	3762	1930	1682	65
LG-81292	4302	101	4402	4402	2258	1968	76
LG-81293	6565	259	6824	19178	4295	2130	140
LG-81294	4221	166	4387	12331	2761	1370	90
LG-81295	3756	81	3837	13956	2172	1381	203
LG-81296	17133	466	17599	35367	10005	6585	543
LG-81297	4263	130	4393	38520	3255	956	52
LG-81298	11084	228	11311	41034	7346	3511	228
LG-81299	7404	203	7607	12025	4018	3166	220
LG-81300	10088	277	10365	16384	5475	4314	299
LG-81301	8874	189	9063	14888	4934	3746	194
LG-81302	8290	176	8466	13483	4587	3521	181
LG-82303	5618	190	5809	16174	3412	2067	139
LG-82304	4999	169	5168	14390	3036	1839	124
LG-82305	4352	147	4499	12528	2643	1601	108
LG-82306	1225	44	1269	19494	670	514	41
LG-82307	1123	40	1163	17863	614	471	38
LG-82308	909	32	942	14466	497	381	31
LG-82309	2202	51	2253	17791	1565	581	56
LG-82310	756	17	773	6106	537	199	19
LG-82311	2492	57	2549	20129	1771	657	64
LG-82312	2845	66	2911	22985	2022	750	73
LG-91313	18716	206	18922	23740	8865	9361	489
LG-91314	11465	124	11589	14356	5968	5312	186
LG-91315	8579	125	8704	14911	4309	4101	168
LG-91316	23567	279	23846	32078	12726	9773	1068
LG-91317	22734	252	22986	28522	11068	11130	535
LG-91318	43888	502	44390	57692	22170	20153	1565
LG-91319	28784	320	29104	35225	14790	13468	526
LG-91320	17176	186	17362	21507	8941	7957	278
LG-91321	19006	206	19212	23798	9893	8805	308
LG-91322	26240	307	26547	33411	15200	10693	347
LG-91323	14209	146	14356	16912	7265	6670	274
LG-91324	19755	231	19986	25154	11443	8051	261
LG-91325	32031	337	32367	38372	16353	14999	678
LG-91326	9691	126	9817	12431	4870	4420	401
LG-91327	16095	208	16303	20644	8087	7341	667
LG-91328	22900	334	23234	39805	11502	10949	450
LG-91329	10738	156	10895	18665	5393	5134	211
LG-92330	5586	85	5672	8665	2726	2736	125
LG-92331	36584	396	36980	61669	20951	15046	587
LG-92332	27591	500	28091	42317	14669	12414	508
LG-92333	26541	404	26946	41122	13066	12892	583
LG-92334	29058	411	29469	43847	16033	12490	535
LG-92335	34779	424	35203	51879	21047	13229	502
LG-92336	26066	381	26448	39280	15645	10067	354
LG-92337	22709	323	23031	30426	13514	8411	783
LG-92338	17491	264	17755	24188	10163	6787	541
LG-92339	23343	349	23693	32267	13722	8542	1079
LG-92340	14589	218	14808	21815	8802	5490	297
LG-92341	27524	412	27936	39703	16407	10224	893
LK	5094754	91499	5186256	9283143	2569199	2289857	235701
LK-1	1826073	27940	1854013	2665797	880939	875272	69862
LK-11	718875	10932	729807	1088780	354089	331549	33237
LK-1103	124791	2219	127010	188069	81184	36827	6780
LK-1103005	2115	39	2154	3236	1338	642	135
LK-1103010	7565	138	7703	11574	4786	2296	483
LK-1103015	4797	88	4885	7339	3035	1456	306
LK-1103020	3504	64	3568	5361	2216	1064	224
LK-1103025	2380	44	2423	3641	1505	722	152
LK-1103030	3681	67	3748	5631	2328	1117	235
LK-1103035	3356	61	3417	5135	2123	1019	214
LK-1103040	3729	68	3797	5705	2359	1132	238
LK-1103045	1725	32	1756	2639	1091	524	110
LK-1103050	2542	46	2588	3889	1608	772	162
LK-1103055	4344	76	4420	6507	2857	1267	220
