entity_id	valid	rejected	polled	electors	UNP	SLFP	JVP	ACTC	LSSP	NSSP
EC-07B	36881	474	37355	45086	17784	16225	2271	22	515	64
EC-07C	33084	367	33451	41355	17060	12732	3026	45	181	40
EC-07D	47978	686	48664	58596	23668	21805	2106	36	294	69
EC-07E	48821	605	49426	57075	27209	19649	1629	60	210	64
EC-07F	48560	540	49100	59040	22301	23689	1981	79	381	129
EC-07G	45025	748	45773	55193	20801	20798	2409	39	907	71
EC-07H	38015	389	38404	51574	23785	11508	2279	63	255	125
EC-07I	41780	389	42169	51073	20269	19623	1533	32	188	135
EC-07J	44126	361	44487	56053	18960	22600	2239	34	180	113
EC-07P	8327	93	8420	8420	4758	3001	311	1	220	36
EC-08	333983	3091	337074	406595	164725	144587	22117	474	1571	509
EC-08A	42845	428	43273	49817	22457	18147	1886	72	220	63
EC-08B	48201	420	48621	57203	22146	22984	2711	61	228	71
EC-08C	50261	421	50682	59798	24667	20389	4781	108	246	70
EC-08D	45614	437	46051	57400	20549	21408	3267	83	229	78
EC-08E	45583	457	46040	56693	22605	17757	4874	49	246	52
EC-08F	44866	408	45274	56252	23221	19333	2067	22	156	67
EC-08G	49975	451	50426	62725	25051	22282	2276	78	198	90
EC-08P	6638	69	6707	6707	4029	2287	255	1	48	18
EC-09	197278	1804	199082	244660	90545	76402	28835	275	877	344
EC-09A	44993	484	45477	57491	18964	19605	5966	97	247	114
EC-09B	45531	378	45909	56254	21056	18150	5957	63	227	78
EC-09C	49733	397	50130	58690	23196	17253	8966	57	183	78
EC-09D	54339	523	54862	69521	25656	20624	7724	58	212	65
EC-09P	2682	22	2704	2704	1673	770	222	0	8	9
EC-10	218003	10610	228613	498545	44775	77210	3098	87263	3376	2176
EC-10A	16187	943	17130	42563	4067	3393	119	8353	157	98
EC-10B	22103	1076	23179	46206	3700	7770	380	9741	257	255
EC-10C	20194	1078	21272	51681	3771	9523	341	6065	310	184
EC-10D	22330	1069	23399	48930	4463	9008	559	7514	483	298
EC-10E	23282	1023	24305	49577	3546	13678	379	4984	423	182
EC-10F	17001	816	17817	43990	2282	8155	208	5779	353	224
EC-10G	15469	585	16054	34859	3198	6348	189	5367	217	150
EC-10H	20247	1205	21452	44597	3629	6128	204	9742	419	125
EC-10I	18959	894	19853	49233	4831	4330	244	8979	332	243
EC-10J	19502	711	20213	42296	6419	3258	176	9319	134	186
EC-10K	18087	1012	19099	39773	3616	4188	188	9822	171	102
EC-10P	4642	198	4840	4840	1253	1431	111	1598	120	129
EC-11	70739	2447	73186	120235	32834	23221	2286	11521	584	293
EC-11A	27502	486	27988	40965	17008	8039	279	1891	174	111
EC-11B	25897	947	26844	43656	11720	9385	1764	2689	252	87
EC-11C	16241	971	17212	34472	3678	5471	204	6654	150	84
EC-11P	1099	43	1142	1142	428	326	39	287	8	11
EC-12	120076	2879	122955	174276	48094	21688	1287	47095	1294	618
EC-12A	29911	880	30791	46195	15950	7994	258	5250	304	155
EC-12B	54727	1120	55847	80394	24220	9922	580	19338	438	229
EC-12C	33708	813	34521	45891	7129	3485	415	21918	531	230
EC-12P	1730	66	1796	1796	795	287	34	589	21	4
EC-13	160970	2101	163071	205838	90772	53096	7679	8079	967	377
EC-13A	53099	486	53585	64740	29049	20552	3039	96	278	85
EC-13B	28476	374	28850	35982	19079	6710	1197	1214	221	55
EC-13C	28599	449	29048	37509	18347	8197	861	926	153	115
EC-13D	49240	778	50018	66037	23286	17265	2518	5748	304	119
EC-13P	1556	14	1570	1570	1011	372	64	95	11	3
EC-14	93596	1795	95391	134948	45522	31700	5395	10068	635	276
EC-14A	34455	440	34895	43980	15823	13097	3536	1708	211	80
EC-14B	26872	777	27649	49244	14503	5424	1305	5366	174	100
EC-14C	31009	536	31545	40422	14529	12900	509	2760	228	83
EC-14P	1260	42	1302	1302	667	279	45	234	22	13
EC-15	619978	5431	625409	727202	345769	248479	21835	509	2594	792
EC-15A	46568	369	46937	53576	23438	20998	1882	34	178	38
EC-15B	43441	314	43755	50467	24544	17307	1262	35	242	51
EC-15C	50518	317	50835	58528	27489	20566	2141	31	201	90
EC-15D	45559	580	46139	55516	28098	15608	1496	41	267	49
EC-15E	37408	325	37733	43670	21220	14914	1060	21	156	37
EC-15F	37721	384	38105	43356	21475	14991	1048	22	148	37
EC-15G	44158	257	44415	50788	23479	19760	742	32	116	29
EC-15H	48924	324	49248	57167	25597	21050	2003	31	198	45
EC-15I	49506	391	49897	57287	28797	19142	1247	33	231	56
EC-15J	50512	350	50862	58869	28872	19429	1897	50	198	66
EC-15K	40134	637	40771	47812	22384	16625	911	36	124	54
EC-15L	39593	295	39888	50454	23370	14638	1300	38	159	88
EC-15M	41064	435	41499	48522	23127	16033	1580	51	203	70
EC-15N	35291	337	35628	41493	17538	14470	3048	52	133	50
EC-15P	9581	116	9697	9697	6341	2948	218	2	40	32
EC-16	217980	1995	219975	270207	128877	80006	7001	817	1040	239
EC-16A	34171	389	34560	45817	24089	8448	706	592	290	46
EC-16B	43218	458	43676	54207	20789	19757	2370	48	182	72
EC-16C	49617	479	50096	61128	30142	17553	1525	109	243	45
EC-16D	40818	357	41175	49638	23324	16299	1016	23	119	37
EC-16E	47647	289	47936	56885	28801	17293	1318	31	171	33
EC-16P	2509	23	2532	2532	1732	656	66	14	35	6
EC-17	236523	2294	238817	282018	117873	102973	13911	222	1148	396
EC-17A	34645	350	34995	41463	16590	15079	2749	31	144	52
EC-17B	31234	347	31581	36657	15259	13029	2719	32	166	29
EC-17C	32982	366	33348	41615	15856	14944	1891	45	187	59
EC-17D	35678	249	35927	42409	18894	15054	1486	32	172	40
EC-17E	45678	474	46152	54762	22467	20442	2410	32	180	147
EC-17F	24322	249	24571	28761	11300	10965	1813	34	180	30
EC-17G	28610	209	28819	32927	15454	12281	733	13	98	31
EC-17P	3374	50	3424	3424	2053	1179	110	3	21	8
EC-18	105615	1064	106679	128822	59414	37243	8138	228	451	141
EC-18A	33989	315	34304	40329	17728	12818	3181	35	169	58
EC-18B	35023	312	35335	43240	20324	11777	2736	24	140	22
EC-18C	35416	426	35842	44055	20616	12286	2161	166	133	54
EC-18P	1187	11	1198	1198	746	362	60	3	9	7
EC-19	240440	2982	243422	284801	141062	88462	7713	625	2115	463
EC-19A	29148	287	29435	33514	21340	7076	443	27	229	33
EC-19B	23703	289	23992	27455	12251	10836	242	62	237	75
EC-19C	24018	395	24413	28077	14400	8830	379	118	230	61
EC-19D	22003	228	22231	27419	12435	8485	717	76	253	37
EC-19E	25778	351	26129	30598	14196	10249	1011	69	212	41
EC-19F	28993	335	29328	33670	17564	9251	1851	54	206	67
EC-19G	30791	437	31228	36128	18673	10078	1745	61	199	35
EC-19H	29522	375	29897	35570	15718	12755	652	97	245	55
EC-19I	21913	242	22155	27756	11822	9257	482	55	242	55
EC-19P	4571	43	4614	4614	2663	1645	191	6	62	4
EC-20	103821	1553	105374	127799	51264	44115	7171	163	882	226
EC-20A	30260	458	30718	35895	16821	11820	1180	55	313	71
EC-20B	35126	526	35652	41675	16836	16060	1721	73	343	93
EC-20C	37200	563	37763	48988	16874	15797	4225	35	214	55
EC-20P	1235	6	1241	1241	733	438	45	0	12	7
EC-21	345604	3407	349011	406275	175903	152506	11283	422	1996	3494
EC-21A	47627	855	48482	56592	23721	19742	851	54	272	2987
EC-21B	51453	499	51952	61986	24765	25402	860	51	273	102
EC-21C	33754	340	34094	38662	17212	15106	1126	35	214	61
EC-21D	45366	336	45702	51837	22923	20679	1440	76	195	53
EC-21E	44671	289	44960	51385	24986	17936	1339	62	291	57
EC-21F	42962	324	43286	48510	21556	20308	779	52	205	62
EC-21G	28293	237	28530	32904	13806	13644	629	33	129	52
EC-21H	47427	505	47932	60326	24459	18287	4161	59	378	83
EC-21P	4051	22	4073	4073	2475	1402	98	0	39	37
EC-22	342762	4537	347299	411994	195444	126538	13706	376	6184	514
EC-22A	48448	538	48986	57629	26926	18803	2201	45	432	41
EC-22B	37407	490	37897	45109	19599	15842	1477	32	403	54
EC-22C	36735	443	37178	45146	20184	14567	1506	31	384	63
EC-22D	34355	328	34683	41612	19130	13220	1799	17	168	21
EC-22E	40166	275	40441	48873	24108	13814	1945	29	219	51
EC-22F	29022	219	29241	34504	17183	10433	1197	26	154	29
EC-22G	38253	771	39024	45811	22889	12517	862	78	1838	69
EC-22H	39399	856	40255	47333	22645	13749	1198	52	1683	72
EC-22I	33576	572	34148	40531	19249	11997	1371	66	789	104
EC-22P	5401	45	5446	5446	3531	1596	150	0	114	10
LG-11001	234209	2360	236569	321244	162591	59667	6752	2260	2408	531
LG-11002	77160	821	77981	101891	45010	27305	2809	300	1473	263
LG-11003	42341	374	42715	59048	25129	14814	1731	32	527	108
LG-11004	58782	707	59489	80297	32096	22744	2625	43	1137	137
LG-11005	57297	719	58016	73006	27963	25275	3338	33	569	119
LG-11006	15386	171	15556	19585	7900	6626	666	9	158	27
LG-11007	9641	102	9742	11538	4909	4326	311	13	44	38
LG-11008	54525	593	55118	71597	26967	23874	2595	27	946	116
LG-11009	41826	400	42226	53598	19307	20044	1697	22	642	113
LG-11010	13581	130	13711	17404	6269	6509	551	7	209	37
LG-11011	33732	374	34107	42938	17321	14527	1459	20	346	59
LG-11012	42688	449	43138	51090	21739	19155	1376	57	194	167
LG-11013	54102	548	54650	68955	27981	23135	2140	50	591	205
LG-12014	45200	412	45612	59884	30346	13345	1049	97	236	127
LG-12015	18539	163	18702	22822	8781	8998	612	10	106	32
LG-12016	7492	68	7560	9265	4693	2510	224	19	37	9
LG-12017	13583	118	13701	16334	7148	5941	366	10	90	28
LG-12018	2439	17	2456	2932	1251	1090	84	1	11	3
LG-12019	8634	76	8709	10790	5024	3266	261	4	54	24
LG-12020	9365	97	9462	11849	4995	3847	440	5	63	15
LG-12021	39424	357	39781	48750	24694	13207	1178	100	195	50
LG-12022	36778	319	37097	44226	19356	16086	990	26	244	76
LG-12023	51306	432	51738	61494	25974	23447	1547	28	231	79
LG-12024	58030	478	58508	70695	30289	24143	3186	29	316	67
LG-12025	55431	382	55813	66634	28421	24759	1908	26	249	67
LG-12026	56321	430	56751	67061	22531	31495	1926	32	272	65
LG-12027	40250	354	40604	49549	19064	19534	1330	23	230	69
LG-12028	47075	412	47488	58834	27396	17808	1422	25	292	133
LG-12029	53778	418	54196	65660	25853	25580	1952	17	307	69
LG-12030	56088	519	56607	66207	26573	27508	1670	33	247	57
LG-12031	45623	410	46033	55457	25398	18539	1389	13	237	47
LG-12032	37007	383	37390	46822	19737	15203	1739	20	249	59
LG-13033	10269	128	10397	12725	5020	4495	379	5	335	36
LG-13034	3112	27	3139	3635	1603	1393	81	3	21	11
LG-13035	10824	124	10948	13183	5312	4667	468	8	347	23
LG-13036	12096	125	12221	14744	6403	5120	415	9	139	10
LG-13037	50839	625	51464	62683	24847	22449	1824	26	1530	163
LG-13038	32460	374	32834	38679	15844	15171	942	21	434	48
LG-13039	49416	432	49848	57721	25453	22125	1280	45	338	175
LG-13040	13533	182	13715	16071	6732	6287	313	20	163	18
LG-13041	25427	343	25770	30197	12648	11813	587	38	307	34
LG-13042	28287	415	28702	34591	13708	12958	1211	60	301	50
LG-13043	22258	326	22584	27218	10786	10196	953	47	236	39
LG-13044	42499	488	42987	51761	20855	18325	1838	31	1360	89
LG-13045	40705	419	41124	49613	21548	17229	1397	30	469	32
LG-13046	19727	365	20093	24325	9933	8138	790	31	804	31
LG-13047	14296	243	14540	17436	7173	6118	501	22	461	21
LG-13048	15504	178	15683	18475	7568	7246	450	10	207	23
LG-13049	21214	393	21606	26158	10681	8752	850	33	865	33
LG-21050	40199	343	40542	51538	25709	13317	722	77	247	126
LG-21051	4859	53	4912	5838	3088	1642	93	5	22	8
LG-21052	7316	60	7376	8636	3853	3252	178	3	24	7
LG-21053	12179	113	12291	14475	7552	4392	151	17	54	13
LG-21054	6637	69	6707	7982	4136	2273	162	11	44	11
LG-21055	30888	214	31102	35940	17778	11874	1092	18	98	28
LG-21056	29219	252	29470	34364	17969	9695	1404	17	96	38
LG-21057	21429	185	21614	25203	13179	7110	1030	13	70	28
LG-21058	19576	169	19745	23023	12039	6496	941	12	64	25
LG-21059	21173	232	21405	25440	13457	7156	406	22	98	33
LG-21060	8102	89	8191	9735	5150	2738	155	9	37	13
LG-21061	8540	108	8648	9617	4624	3704	138	11	47	15
LG-21062	19688	250	19938	22171	10660	8538	318	27	110	36
LG-21063	27012	267	27279	31145	13258	12747	821	56	100	30
LG-21064	34743	355	35098	41314	20421	12898	1138	60	180	46
LG-21065	33240	414	33654	38947	20296	12286	419	43	165	31
LG-21066	17728	145	17873	22530	10588	6646	321	20	104	50
LG-21067	32274	265	32539	38095	16995	14344	786	12	107	29
LG-21068	36616	246	36862	43223	23440	12100	852	27	150	47
LG-21069	33302	312	33614	39623	20660	11955	448	48	154	37
LG-21070	17518	182	17700	21066	10916	5999	427	28	117	29
LG-21071	12358	129	12487	14862	7701	4233	301	20	83	21
LG-22072	7205	53	7258	8386	3791	3013	346	6	43	6
LG-22073	10604	98	10702	12956	6656	3448	415	25	45	15
LG-22074	8945	66	9011	10411	4707	3740	430	8	53	7
LG-22075	21191	157	21348	24664	11150	8861	1019	19	126	16
LG-22076	14671	109	14780	17076	7720	6135	705	13	87	11
LG-22077	5483	48	5531	6235	3080	2156	206	7	28	6
LG-22078	10825	95	10920	12310	6081	4257	406	14	54	12
LG-22079	4393	39	4431	4996	2468	1728	165	6	22	5
LG-22080	10189	90	10279	11588	5724	4007	382	13	51	11
LG-22081	14266	132	14399	17431	8954	4639	558	34	61	20
LG-22082	10047	93	10140	12275	6306	3267	393	24	43	14
LG-22083	23594	230	23823	27888	14648	7552	1173	48	138	35
LG-22084	17840	174	18015	21061	11071	5707	894	36	105	27
LG-23085	1226	16	1242	1493	853	320	33	7	11	3
LG-23086	639	9	648	779	445	167	17	3	6	1
LG-23087	1203	16	1219	1465	837	314	32	6	11	2
LG-23088	7537	101	7638	9180	5245	1968	201	40	67	15
LG-23089	12101	162	12263	14740	8422	3160	322	65	108	25
LG-23090	14684	196	14881	17886	10219	3835	391	79	131	30
LG-23091	10128	136	10264	12336	7048	2645	270	54	90	21
LG-23092	8730	117	8847	10633	6075	2280	233	47	78	18
LG-23093	14758	197	14955	17975	10270	3854	393	79	131	30
LG-23094	31565	320	31885	37124	18684	12036	616	51	146	32
LG-23095	34398	368	34766	39853	20672	12414	983	50	202	77
LG-23096	33723	397	34120	38414	18957	13391	1023	74	208	70
LG-31097	32255	330	32585	43760	20181	9764	1934	53	216	106
LG-31098	8074	104	8177	9870	3893	3552	497	5	113	14
LG-31099	11684	194	11878	14323	5398	5397	625	10	235	18
LG-31100	28541	546	29087	37444	14949	9295	1178	14	3060	45
LG-31101	23786	310	24095	29081	11448	10487	1456	14	339	41
LG-31102	10478	116	10595	13098	5403	4032	958	14	57	13
LG-31103	22315	248	22563	27894	11507	8588	2041	30	122	27
LG-31104	20644	295	20940	25213	10184	9382	906	15	127	30
LG-31105	26738	382	27120	32655	13190	12152	1174	20	164	38
LG-31106	10811	134	10945	12638	6025	4351	361	13	47	14
LG-31107	12309	153	12461	14390	6860	4954	411	15	53	16
LG-31108	20538	245	20783	24371	10689	8925	743	28	116	37
LG-31109	13479	168	13648	15789	7474	5456	456	16	59	18
LG-31110	29347	337	29684	35731	13633	13996	1338	41	267	72
LG-31111	17851	199	18049	21703	8198	8708	728	29	140	47
LG-31112	32295	537	32831	39588	14920	14918	1728	28	651	51
LG-31113	25365	236	25602	31007	12306	11913	931	19	114	82
LG-31114	22174	212	22386	27880	11567	9453	948	22	112	72
LG-31115	18462	151	18613	23452	7933	9456	937	14	75	47
LG-31116	25664	210	25874	32601	11027	13144	1302	20	105	66
LG-32117	30649	279	30928	38427	15863	13207	1412	15	107	46
LG-32118	8951	81	9031	11234	4487	3991	408	14	35	16
LG-32119	16348	163	16511	19008	8569	6924	720	27	84	24
LG-32120	20202	202	20404	23490	10589	8557	889	34	104	30
LG-32121	9097	87	9184	11448	4098	4270	652	17	46	16
LG-32122	21174	185	21359	25129	9729	10097	1191	27	100	31
LG-32123	22915	208	23123	27043	10935	10591	1212	32	111	34
LG-32124	13522	113	13635	16088	6636	5485	1286	29	66	19
LG-32125	22148	186	22334	26351	10870	8985	2107	48	108	31
LG-32126	14590	122	14713	17359	7161	5919	1388	31	71	20
LG-32127	13521	121	13641	16269	6184	6424	808	19	65	21
LG-32128	18368	176	18544	23114	8275	8621	1316	33	92	31
LG-32129	15035	144	15179	18920	6773	7056	1077	27	75	26
LG-32130	21370	214	21584	26579	10598	8325	2285	23	115	24
LG-32131	24213	243	24456	30114	12007	9432	2589	26	131	28
LG-32132	14217	129	14346	17825	7358	6126	655	7	49	21
LG-32133	41024	370	41395	51491	20564	18291	1868	64	163	74
LG-33134	5775	56	5830	7388	2726	2192	821	6	23	7
LG-33135	2694	22	2716	3180	1257	935	486	3	10	4
LG-33136	30964	307	31271	39120	13483	13101	4087	59	165	70
LG-33137	24575	264	24840	31402	10358	10708	3259	53	135	62
LG-33138	26038	216	26254	32170	12041	10379	3407	36	130	45
LG-33139	23192	188	23380	27864	10781	8508	3739	29	97	38
LG-33140	15360	123	15482	18126	7164	5329	2769	18	57	24
LG-33141	21937	183	22120	26335	10257	7757	3783	25	82	33
LG-33142	17050	164	17214	21814	8050	6471	2424	18	67	20
LG-33143	10712	103	10815	13704	5057	4066	1523	11	42	13
LG-33144	8457	81	8538	10819	3993	3210	1202	9	33	10
LG-33145	7843	75	7919	10034	3703	2977	1115	8	31	9
LG-41146	28881	1153	30034	66652	8809	5400	297	13761	298	306
LG-41147	3743	180	3923	9685	502	1795	46	1272	78	49
LG-41148	4860	184	5044	10953	1005	1995	59	1686	68	47
LG-41149	5047	300	5347	11117	905	1528	51	2428	104	31
LG-41150	3255	158	3414	6805	545	1144	56	1435	38	38
LG-41151	2198	128	2326	5780	552	461	16	1134	21	13
LG-41152	851	50	901	2238	214	178	6	439	8	5
LG-41153	3726	217	3943	9798	936	781	27	1923	36	23
LG-41154	15785	768	16554	32999	2642	5549	271	6957	184	182
LG-41155	6570	383	6953	17275	1651	1377	48	3390	64	40
LG-41156	32258	1658	33916	77807	6083	14231	619	10444	540	339
LG-41157	14469	688	15157	31635	2838	6047	352	4729	309	187
LG-41158	22141	973	23114	47148	3372	13008	360	4740	402	173
LG-41159	14918	696	15614	37959	2142	7023	182	5084	297	190
LG-41160	11790	507	12297	27724	2545	4286	130	4569	155	105
LG-41161	15200	905	16105	33480	2724	4600	153	7314	315	94
LG-41162	9580	452	10032	24877	2441	2188	123	4537	168	123
LG-42166	6744	119	6863	10046	4171	1971	68	464	43	27
LG-42167	7364	130	7494	10969	4554	2153	75	506	47	30
LG-42168	5701	101	5802	8492	3526	1666	58	392	36	23
LG-42169	2243	40	2282	3340	1387	656	23	154	14	9
LG-42170	5450	96	5546	8118	3371	1593	55	375	34	22
LG-43171	7698	281	7979	12977	3484	2790	524	799	75	26
LG-43172	1734	63	1798	2924	785	629	118	180	17	6
LG-43173	4498	164	4663	7583	2036	1630	306	467	44	15
LG-43174	9992	365	10358	16844	4522	3621	681	1038	97	34
LG-43175	1974	72	2047	3328	894	716	134	205	19	7
LG-44176	1254	75	1329	2661	284	422	16	514	12	6
LG-44177	1709	102	1811	3627	387	576	21	700	16	9
LG-44178	7643	457	8100	16222	1731	2575	96	3131	71	40
LG-44179	5636	337	5973	11962	1276	1898	71	2309	52	29
LG-45163	1359	76	1435	2989	272	315	14	738	13	8
LG-45164	13493	755	14248	29670	2698	3124	140	7327	128	76
LG-45165	3235	181	3416	7114	647	749	34	1757	31	18
LG-51180	19446	398	19844	28567	8606	3526	206	6871	156	81
LG-51181	5558	114	5671	8164	2460	1008	59	1964	44	23
LG-51182	9101	186	9288	13370	4028	1650	96	3216	73	38
LG-51183	15248	383	15631	23000	7471	3450	146	3970	139	72
LG-51184	12590	370	12960	19444	6713	3365	109	2210	128	65
LG-51185	5053	149	5202	7804	2694	1350	44	887	51	26
LG-51186	4295	126	4421	6633	2290	1148	37	754	44	22
LG-51187	16834	406	17241	22919	3560	1740	207	10946	265	115
LG-51188	6922	142	7064	10169	3064	1255	73	2446	55	29
LG-51189	6425	131	6557	9438	2843	1165	68	2270	51	27
LG-51190	6845	165	7011	9320	1448	708	84	4451	108	47
LG-51191	10028	242	10270	13653	2121	1037	123	6521	158	68
LG-52192	28599	449	29048	37509	18347	8197	861	926	153	115
LG-52193	7753	113	7865	10109	4400	2290	363	629	54	17
LG-52194	5778	53	5831	7045	3161	2236	331	10	30	9
LG-52195	14409	132	14540	17567	7883	5577	825	26	75	23
LG-52196	8304	104	8408	10642	4228	3059	449	503	47	17
LG-52197	13965	128	14093	17026	7640	5405	799	25	73	22
LG-52198	4987	46	5033	6080	2728	1930	285	9	26	8
LG-52199	5525	51	5576	6736	3023	2139	316	10	29	9
LG-52200	4379	40	4419	5339	2396	1695	251	8	23	7
LG-52201	4646	61	4707	5870	3113	1095	195	198	36	9
LG-52202	14999	197	15196	18953	10050	3534	631	639	116	29
LG-52203	3568	47	3615	4508	2391	841	150	152	28	7
LG-52204	1645	23	1667	2105	1034	427	72	96	12	3
LG-52205	8049	127	8176	10795	3806	2822	412	940	50	19
LG-52206	9721	153	9874	13018	4645	3380	495	1117	60	23
LG-52207	5193	82	5275	6964	2456	1821	266	606	32	13
LG-52208	2061	33	2094	2764	975	723	105	241	13	5
LG-52209	3894	62	3955	5222	1841	1365	199	455	24	9
LG-52210	6095	96	6192	8175	2883	2137	312	712	38	15
LG-52211	5845	92	5937	7839	2764	2049	299	682	36	14
LG-53212	10415	301	10716	19085	5621	2102	506	2080	67	39
LG-53213	8062	139	8201	10509	3777	3354	132	718	59	22
LG-53214	3785	48	3834	4832	1738	1439	388	188	23	9
LG-53215	4523	58	4581	5773	2077	1719	464	224	28	11
LG-53216	15528	198	15726	19821	7131	5902	1594	770	95	36
LG-53217	2644	34	2677	3374	1214	1005	271	131	16	6
LG-53218	2449	31	2480	3126	1125	931	251	121	15	6
LG-53219	3942	50	3993	5032	1810	1499	405	195	24	9
LG-53220	9099	263	9362	16673	4911	1836	442	1817	59	34
LG-53221	6649	192	6841	12184	3588	1342	323	1328	43	25
LG-53222	6724	117	6841	9097	3186	2588	270	615	47	18
LG-53223	12413	215	12628	16182	5816	5164	204	1105	91	33
LG-53224	6104	106	6209	7957	2860	2539	100	543	45	16
LG-61225	8548	64	8612	10893	5046	3160	281	8	34	19
LG-61226	2092	17	2109	2421	1217	809	53	1	10	2
LG-61227	11449	91	11540	13172	5763	5163	463	8	44	9
LG-61228	29472	234	29706	33907	14834	13289	1191	22	113	24
LG-61229	27374	181	27555	31669	14665	11391	1149	17	108	43
LG-61230	30372	220	30592	35285	17160	12100	882	24	169	36
LG-61231	13069	94	13163	15182	7384	5207	380	11	73	15
LG-61232	28791	181	28971	33356	15666	11721	1220	18	115	51
LG-61233	45559	580	46139	55516	28098	15608	1496	41	267	49
LG-61234	37408	325	37733	43670	21220	14914	1060	21	156	37
LG-61235	37721	384	38105	43356	21475	14991	1048	22	148	37
LG-61236	24029	140	24169	27636	12776	10752	404	17	63	16
