entity_id	valid	rejected	polled	electors	PA	UNP	Ind 2	SMBP	Ind 1	SLPF
EC-04C	43877	1652	45529	57482	23082	19995	349	175	167	109
EC-04D	35435	892	36327	42700	22944	11906	277	86	96	126
EC-04E	25556	625	26181	32992	14309	10742	238	92	90	85
EC-04F	43140	1081	44221	56925	24150	18243	285	238	122	102
EC-04G	37997	921	38918	50376	19303	18076	318	107	119	74
EC-04H	40167	912	41079	55740	22323	17152	172	335	123	62
EC-04I	23291	583	23874	32335	12339	10477	98	258	78	41
EC-04J	43399	934	44333	58455	25099	17621	226	220	103	130
EC-04K	42399	945	43344	56671	24199	17442	287	215	155	101
EC-04L	50067	1524	51591	66812	29558	19692	350	193	169	105
EC-04M	47007	1509	48516	62996	26785	19423	344	176	169	110
EC-04P	17684	275	17959	17959	10597	6881	21	102	38	45
EC-05	199164	5317	204481	265743	121449	73324	2111	992	608	680
EC-05A	62906	1458	64364	85870	37869	23746	602	273	187	229
EC-05B	40011	897	40908	48525	26092	13013	507	137	119	143
EC-05C	42170	1253	43423	58638	25234	16006	379	288	126	137
EC-05D	47678	1636	49314	66238	28300	18187	618	250	169	154
EC-05P	6399	73	6472	6472	3954	2372	5	44	7	17
EC-06	295630	11840	307470	393221	168929	116928	6314	1332	1083	1044
EC-06A	155091	7412	162503	212690	94262	53949	4897	775	590	618
EC-06B	42716	1651	44367	56977	22034	19708	555	137	140	142
EC-06C	43287	1202	44489	54001	22917	19609	350	162	153	96
EC-06D	48078	1480	49558	63000	26020	20955	509	226	190	178
EC-06P	6458	95	6553	6553	3696	2707	3	32	10	10
EC-07	464815	7112	471927	646373	285398	173282	1885	1584	1179	1487
EC-07A	29714	375	30089	43988	17307	12087	108	59	83	70
EC-07B	39513	514	40027	56041	25258	13735	163	140	101	116
EC-07C	35029	583	35612	53066	22470	11934	244	127	81	173
EC-07D	51600	773	52373	71765	32213	18747	224	160	124	132
EC-07E	58038	1059	59097	74337	34003	23216	282	157	172	208
EC-07F	55479	952	56431	74331	33932	20785	272	174	131	185
EC-07G	46563	660	47223	66221	28618	17406	164	138	81	156
EC-07H	41338	615	41953	62011	23587	17258	83	185	127	98
EC-07I	47360	672	48032	64320	29135	17679	111	190	117	128
EC-07J	46483	656	47139	66342	29689	16115	220	172	129	158
EC-07P	13698	253	13951	13951	9186	4320	14	82	33	63
EC-08	352239	5731	357970	511933	227865	118224	2055	1564	1134	1397
EC-08A	50765	1293	52058	71106	30662	18819	465	316	213	290
EC-08B	48246	828	49074	70889	29756	17473	407	240	163	207
EC-08C	51655	903	52558	74562	32632	18165	327	175	145	211
EC-08D	45984	655	46639	69050	31038	14133	305	213	128	167
EC-08E	46377	624	47001	66923	30817	14824	185	185	169	197
EC-08F	48872	648	49520	73461	32503	15751	152	205	138	123
EC-08G	51982	675	52657	77479	34583	16708	201	173	145	172
EC-08P	8358	105	8463	8463	5874	2351	13	57	33	30
EC-09	215995	4013	220008	333054	132873	77735	1414	1538	750	1685
EC-09A	45909	1010	46919	73236	26535	17983	419	389	194	389
EC-09B	43502	652	44154	66091	26335	16150	273	294	165	285
EC-09C	53405	789	54194	80917	33442	18680	319	332	170	462
EC-09D	67168	1432	68600	106669	42523	23102	390	478	197	478
EC-09P	6011	130	6141	6141	4038	1820	13	45	24	71
EC-10	17575	141	17716	596422	16934	223	341	36	16	25
EC-10A	15193	120	15313	49504	14761	83	291	27	14	17
EC-10B	584	4	588	58949	539	6	31	6	0	2
EC-10C	127	0	127	60417	116	6	3	1	1	0
EC-10D	18	0	18	58382	18	0	0	0	0	0
EC-10E	12	0	12	56496	11	1	0	0	0	0
EC-10F	26	0	26	52153	24	2	0	0	0	0
EC-10G	8	0	8	40336	8	0	0	0	0	0
EC-10H	70	3	73	51717	63	6	1	0	0	0
EC-10I	23	0	23	62372	21	2	0	0	0	0
EC-10J	1272	7	1279	50045	1143	108	15	1	1	4
EC-10K	186	7	193	55995	174	9	0	1	0	2
EC-10P	56	0	56	56	56	0	0	0	0	0
EC-11	39372	681	40053	179858	33585	4493	1003	96	77	118
EC-11A	16149	199	16348	54066	14607	981	490	24	12	35
EC-11B	20595	444	21039	72434	16861	3026	499	68	63	78
EC-11C	1478	27	1505	52197	1128	330	13	3	0	4
EC-11P	1150	11	1161	1161	989	156	1	1	2	1
EC-12	165779	2664	168443	264975	144725	14812	5030	349	381	484
EC-12A	47841	730	48571	73640	41821	3930	1731	99	77	183
EC-12B	71887	1061	72948	123893	59814	9812	1685	145	239	194
EC-12C	42999	848	43847	64365	40489	631	1611	102	59	107
EC-12P	3052	25	3077	3077	2601	439	3	3	6	0
EC-13	232581	3621	236202	319166	168289	59074	3677	471	496	574
EC-13A	80608	1751	82359	112046	44423	34832	640	236	231	246
EC-13B	38082	480	38562	51991	30890	6056	918	50	89	79
EC-13C	36510	352	36862	50248	31511	4092	701	58	70	78
EC-13D	70310	949	71259	97721	56780	11774	1407	114	88	147
EC-13P	7071	89	7160	7160	4685	2320	11	13	18	24
EC-14	108821	1726	110547	188017	77943	28006	2074	279	195	324
EC-14A	33018	640	33658	54632	20621	11726	415	85	60	111
EC-14B	33770	545	34315	67509	28900	3925	697	112	51	85
EC-14C	38152	495	38647	61949	25721	11209	946	74	82	120
EC-14P	3881	46	3927	3927	2701	1146	16	8	2	8
EC-15	680344	10511	690855	897539	403838	266740	3999	2211	1714	1842
EC-15A	52891	858	53749	69872	33011	19033	377	164	130	176
EC-15B	49067	834	49901	64434	30415	17932	294	145	117	164
EC-15C	57283	962	58245	76083	33582	22893	367	157	118	166
EC-15D	49891	919	50810	67182	28159	20880	405	178	121	148
EC-15E	41012	610	41622	53579	25612	14862	231	118	87	102
EC-15F	39200	515	39715	52667	23158	15482	234	114	103	109
EC-15G	47842	467	48309	61107	27377	19915	233	109	103	105
EC-15H	53214	651	53865	68616	33528	19095	224	152	114	101
EC-15I	53349	773	54122	69233	29638	22999	295	167	146	104
EC-15J	51806	738	52544	69064	30516	20613	244	170	151	112
EC-15K	41062	647	41709	55872	23447	17030	216	165	108	96
EC-15L	42278	682	42960	59146	24685	17005	188	158	151	91
EC-15M	45476	831	46307	60627	28057	16635	348	177	124	135
EC-15N	35350	699	36049	49109	20241	14374	322	142	100	171
EC-15P	20623	325	20948	20948	12412	7992	21	95	41	62
EC-16	264635	4689	269324	385854	165795	95211	1796	617	591	625
EC-16A	45428	1043	46471	73757	29040	15542	531	75	122	118
EC-16B	54762	1045	55807	80010	35977	17821	475	176	122	191
EC-16C	58421	936	59357	83057	35415	22240	382	133	121	130
EC-16D	44994	576	45570	64449	27856	16721	180	81	86	70
EC-16E	55463	994	56457	78919	33874	21004	228	134	121	102
EC-16P	5567	95	5662	5662	3633	1883	0	18	19	14
EC-17	312797	6205	319002	418857	200146	107342	2534	1014	678	1083
EC-17A	39938	667	40605	55792	25938	13185	401	126	106	182
EC-17B	39886	581	40467	51975	26000	13287	297	80	86	136
EC-17C	43677	943	44620	62048	27421	15490	310	220	102	134
EC-17D	46794	1115	47909	65367	27142	18892	365	141	113	141
EC-17E	61100	1304	62404	79687	42661	17331	547	191	112	258
EC-17F	30992	581	31573	41088	19935	10541	267	86	66	97
EC-17G	38704	789	39493	50969	23583	14517	324	110	75	95
EC-17P	11706	225	11931	11931	7466	4099	23	60	18	40
EC-18	150475	3966	154441	203940	88907	59287	1126	428	258	469
EC-18A	41504	1204	42708	57393	25779	15079	279	134	64	169
EC-18B	42168	965	43133	55264	23977	17588	313	112	67	111
EC-18C	63136	1716	64852	87535	36865	25284	527	169	118	173
EC-18P	3667	81	3748	3748	2286	1336	7	13	9	16
EC-19	330772	14093	344865	445146	182810	139611	3847	1745	1387	1372
EC-19A	44135	1302	45437	58235	18218	24842	446	213	213	203
EC-19B	27487	1002	28489	36342	15304	11227	456	145	183	172
EC-19C	34169	1873	36042	45788	19303	13793	556	176	167	174
EC-19D	28243	958	29201	40039	17416	10210	255	182	104	76
EC-19E	35522	1861	37383	48807	20090	14430	491	212	153	146
EC-19F	37077	1267	38344	47127	20307	16031	335	134	129	141
EC-19G	40152	1482	41634	53643	22177	17280	284	164	126	121
EC-19H	39733	2003	41736	56426	23648	15072	464	236	152	161
EC-19I	34531	2182	36713	48853	20108	13371	551	221	140	140
EC-19P	9723	163	9886	9886	6239	3355	9	62	20	38
EC-20	152869	3977	156846	203102	96620	52026	1966	877	556	824
EC-20A	39467	928	40395	50852	24271	13867	674	209	200	246
EC-20B	49108	1456	50564	64229	31950	15801	687	234	175	261
EC-20C	60623	1553	62176	84310	38050	21090	600	414	174	295
EC-20P	3671	40	3711	3711	2349	1268	5	20	7	22
EC-21	443031	7595	450626	563174	257265	177924	3451	1877	1235	1279
EC-21A	53997	705	54702	71614	32647	20589	366	166	125	104
EC-21B	65042	996	66038	83492	38221	25858	435	225	162	141
EC-21C	44903	906	45809	56593	24076	19994	405	172	138	118
EC-21D	57403	1277	58680	73136	32501	23943	353	257	154	195
EC-21E	54384	1057	55441	69702	27997	25338	453	253	189	154
EC-21F	55178	836	56014	66888	31980	22172	531	202	141	152
EC-21G	34923	469	35392	43279	19993	14434	234	93	87	82
EC-21H	68731	1252	69983	89903	44641	22425	666	465	222	312
EC-21P	8470	97	8567	8567	5209	3171	8	44	17	21
EC-22	377592	7139	384731	514055	211676	159707	2759	1402	1020	1028
EC-22A	52683	795	53478	70142	28939	22989	329	159	133	134
EC-22B	39669	696	40365	54044	22942	16086	307	132	98	104
EC-22C	38815	751	39566	54933	24126	14150	197	140	87	115
EC-22D	35720	761	36481	49996	21224	13899	259	144	84	110
EC-22E	45570	803	46373	63001	25400	19367	350	209	143	101
EC-22F	31532	604	32136	42338	17156	13854	224	113	78	107
EC-22G	40952	992	41944	57328	21930	18200	409	180	123	110
EC-22H	42063	602	42665	56451	23340	18038	298	137	131	119
EC-22I	37700	915	38615	52714	18793	18179	375	131	128	94
EC-22P	12888	220	13108	13108	7826	4945	11	57	15	34
LG-11001	228866	4887	233753	348511	141502	84273	688	1151	880	372
LG-11002	78989	1501	80490	115050	52643	25058	194	599	346	149
LG-11003	48945	762	49707	71213	31646	16331	118	521	232	97
LG-11004	70655	988	71643	97831	45403	24493	127	280	234	118
LG-11005	76917	1445	78362	113173	51876	23475	241	599	521	205
LG-11006	19577	351	19928	28244	12622	6676	63	103	63	49
LG-11007	10267	242	10509	14962	5736	4261	53	145	42	30
LG-11008	68521	1328	69849	101317	47818	19514	158	638	240	153
LG-11009	58562	875	59437	83753	41011	16706	159	350	202	135
LG-11010	19016	284	19300	27195	13316	5424	51	114	66	44
LG-11011	42921	769	43690	61923	27674	14637	139	227	138	107
LG-11012	45461	1071	46532	66251	25396	18865	237	642	188	133
LG-11013	68619	1102	69721	106536	45072	22369	279	444	284	171
LG-12014	54348	761	55109	80589	31648	22131	184	133	172	80
LG-12015	22801	302	23103	31667	16145	6337	68	127	78	46
LG-12016	9857	147	10004	13657	5968	3780	29	29	34	16
LG-12017	18422	233	18655	24820	11575	6645	68	50	50	35
LG-12018	2773	38	2811	3760	1772	963	11	13	10	5
LG-12019	10729	177	10906	15080	6845	3760	24	41	37	23
LG-12020	11151	186	11337	15791	7190	3802	30	69	38	22
LG-12021	51863	775	52638	71859	31405	19891	151	154	180	83
LG-12022	49881	631	50512	67207	31341	17992	183	134	137	93
LG-12023	59637	832	60469	77104	35220	23749	235	169	149	115
LG-12024	63821	1446	65267	89455	40288	22585	248	270	208	222
LG-12025	63012	854	63866	85432	40269	21876	241	286	223	116
LG-12026	70511	1065	71576	91907	51923	17437	396	374	206	175
LG-12027	49501	656	50157	68749	35052	13757	147	276	168	101
LG-12028	58501	964	59465	82225	37321	20500	128	225	199	127
LG-12029	69414	1064	70478	98091	46494	21935	251	311	235	188
LG-12030	59850	867	60717	80415	39151	19920	283	228	152	116
LG-12031	57040	930	57970	80600	36459	19678	201	340	235	127
LG-12032	44064	734	44798	62400	28411	15023	121	275	149	85
LG-13033	12028	174	12202	16870	8091	3774	31	64	37	30
LG-13034	3491	55	3546	4614	2137	1297	21	16	13	9
LG-13035	12280	189	12468	17546	7610	4508	48	46	35	33
LG-13036	13860	151	14011	19209	8331	5381	56	26	31	35
LG-13037	59690	861	60551	83162	39756	19118	173	308	183	152
LG-13038	38731	553	39283	51567	24097	14073	187	156	111	105
LG-13039	55431	877	56308	73263	33927	20589	330	246	199	138
LG-13040	15005	242	15247	19779	8482	6295	88	54	41	45
LG-13041	28194	454	28649	37163	15936	11829	165	101	77	85
LG-13042	30920	585	31505	44847	18875	11566	160	113	94	112
LG-13043	24330	460	24790	35288	14851	9101	126	89	74	89
LG-13044	48213	740	48954	68891	29880	17701	189	180	135	128
LG-13045	46640	509	47149	64640	28033	18106	190	89	104	118
LG-13046	21369	345	21714	30378	12558	8472	125	73	63	78
LG-13047	15594	252	15846	21683	9059	6291	91	54	45	54
LG-13048	18500	264	18764	24631	11510	6722	90	75	53	50
LG-13049	22978	371	23350	32667	13504	9110	134	79	68	84
LG-21050	43889	1060	44949	60846	23809	19255	190	421	141	73
LG-21051	6115	230	6345	8011	3217	2787	49	24	23	15
LG-21052	8020	173	8192	10802	4638	3256	42	41	19	24
LG-21053	14333	436	14770	19127	8462	5637	100	55	48	30
LG-21054	7908	254	8162	10598	4506	3268	58	30	28	19
LG-21055	32625	517	33142	43462	17288	14862	201	118	95	61
LG-21056	34315	753	35068	45455	20027	13733	242	126	95	91
LG-21057	25167	552	25719	33337	14688	10072	178	92	70	67
LG-21058	22991	504	23495	30454	13418	9201	162	84	64	61
LG-21059	26648	1003	27651	34911	14018	12144	212	106	101	66
LG-21060	10197	384	10581	13359	5365	4647	81	41	39	25
LG-21061	10720	270	10990	12918	6941	3602	84	26	29	38
LG-21062	24715	622	25337	29782	16003	8304	193	60	67	88
LG-21063	25556	625	26181	32992	14309	10742	238	92	90	85
LG-21064	43140	1081	44221	56925	24150	18243	285	238	122	102
LG-21065	37997	921	38918	50376	19303	18076	318	107	119	74
LG-21066	20486	470	20955	28429	11335	8791	88	176	63	32
LG-21067	35379	761	36141	47653	20461	14365	184	179	84	106
LG-21068	42399	945	43344	56671	24199	17442	287	215	155	101
LG-21069	39236	1200	40436	52379	23092	15502	275	151	133	83
LG-21070	20872	670	21542	27971	11893	8624	153	78	75	49
LG-21071	14725	473	15197	19733	8390	6084	108	55	53	34
LG-22072	8714	202	8916	11895	5246	3289	83	38	26	32
LG-22073	12501	371	12872	17383	7480	4745	112	85	37	41
LG-22074	10818	251	11069	14768	6513	4084	104	47	32	39
LG-22075	25630	594	26224	34986	15429	9675	245	111	76	93
LG-22076	17744	411	18155	24222	10682	6698	170	77	53	65
LG-22077	7102	159	7261	8613	4631	2310	90	24	21	25
LG-22078	14021	314	14336	17005	9143	4560	178	48	42	50
LG-22079	5690	128	5817	6901	3711	1851	72	19	17	20
LG-22080	13198	296	13494	16007	8607	4292	167	45	39	47
LG-22081	16818	500	17318	23386	10064	6384	151	115	50	55
LG-22082	11844	352	12196	16469	7087	4495	106	81	35	38
LG-22083	27724	947	28671	38517	16461	10573	355	147	98	90
LG-22084	20961	719	21680	29121	12442	7996	272	110	74	68
LG-23085	2678	128	2806	3672	1628	931	85	13	10	11
LG-23086	1396	67	1463	1915	849	486	44	7	5	6
LG-23087	2627	126	2752	3602	1596	914	83	13	10	10
LG-23088	16462	787	17248	22575	10005	5726	520	82	63	66
LG-23089	26432	1263	27695	36248	16065	9194	835	132	101	105
LG-23090	32073	1533	33606	43985	19493	11157	1013	160	122	128
LG-23091	22122	1057	23179	30337	13445	7695	698	111	84	88
LG-23092	19068	911	19979	26149	11589	6633	602	95	73	76
LG-23093	32234	1541	33775	44205	19591	11213	1018	161	123	128
LG-23094	42716	1651	44367	56977	22034	19708	555	137	140	142
LG-23095	43287	1202	44489	54001	22917	19609	350	162	153	96
LG-23096	48078	1480	49558	63000	26020	20955	509	226	190	178
LG-31097	35075	522	35597	52616	20013	14643	70	157	108	83
LG-31098	8650	113	8762	12268	5529	3007	36	31	22	25
LG-31099	12083	171	12255	17185	7427	4517	43	36	21	40
LG-31100	29714	375	30089	43988	17307	12087	108	59	83	70
LG-31101	25444	332	25777	36092	16238	8873	104	90	64	75
LG-31102	11094	185	11279	16807	7117	3780	77	40	26	55
LG-31103	23627	393	24020	35793	15156	8049	165	86	55	117
LG-31104	22203	333	22536	30880	13861	8067	96	69	53	57
LG-31105	28756	431	29187	39994	17952	10448	125	89	69	74
LG-31106	12852	234	13086	16461	7529	5141	62	35	38	46
LG-31107	14633	267	14900	18742	8573	5853	71	40	43	52
LG-31108	24058	429	24488	31335	14322	9400	117	69	66	84
LG-31109	15957	289	16246	20508	9373	6359	77	43	47	57
LG-31110	33073	540	33613	44875	20417	12204	158	107	79	108
LG-31111	20394	350	20744	27324	12474	7641	100	64	48	68
LG-31112	33398	473	33871	47498	20527	12485	118	99	58	112
LG-31113	28753	408	29161	39050	17688	10733	67	115	71	78
LG-31114	24870	357	25227	34665	15020	9561	56	103	65	65
LG-31115	19448	274	19722	27757	12422	6742	92	72	54	66
LG-31116	27035	382	27417	38585	17267	9373	128	100	75	92
LG-32117	33386	443	33829	50183	22204	10760	104	140	94	84
LG-32118	9310	121	9431	13877	6194	2992	36	31	26	31
LG-32119	19370	493	19863	27131	11699	7181	177	121	81	111
LG-32120	23937	610	24547	33528	14458	8874	219	149	100	137
LG-32121	9171	131	9302	13771	6190	2819	61	42	26	33
LG-32122	21194	364	21558	31141	13072	7676	179	105	72	91
LG-32123	24094	475	24569	34890	14765	8790	209	129	87	114
LG-32124	13897	243	14140	20060	8779	4887	88	47	39	57
LG-32125	22763	398	23161	32857	14380	8005	144	77	64	93
LG-32126	14995	262	15257	21645	9473	5273	95	51	42	61
LG-32127	13556	223	13779	20019	8543	4737	109	66	44	56
LG-32128	18517	264	18781	27805	12498	5691	123	86	52	67
LG-32129	15157	216	15373	22760	10230	4658	101	70	42	55
LG-32130	21742	293	22035	31375	14448	6950	87	87	79	92
LG-32131	24635	331	24966	35548	16369	7874	98	98	90	105
LG-32132	15486	205	15691	23278	10299	4991	48	65	44	39
LG-32133	42672	554	43226	63602	28389	13716	165	142	119	141
LG-33134	7138	152	7290	11336	4519	2455	41	51	21	51
LG-33135	2893	43	2936	4384	1812	1012	17	18	9	25
LG-33136	30910	609	31519	48543	18142	11902	253	245	126	243
LG-33137	25075	552	25627	40001	14493	9822	229	212	106	212
LG-33138	24878	373	25250	37796	15060	9236	156	168	94	163
LG-33139	23845	354	24199	36164	14753	8524	145	153	81	188
LG-33140	16494	244	16738	24991	10328	5769	99	103	53	143
LG-33141	24287	395	24683	37205	15247	8463	144	156	76	202
LG-33142	21075	449	21525	33469	13342	7249	122	150	62	150
LG-33143	13241	282	13523	21027	8382	4554	77	94	39	94
LG-33144	10453	223	10676	16601	6618	3595	61	74	31	74
LG-33145	9695	207	9901	15396	6138	3334	56	69	28	69
LG-41146	1283	7	1290	80901	1153	109	15	1	1	4
LG-41147	6	0	6	11482	5	0	0	0	0	0
LG-41148	3	0	3	12674	3	0	0	0	0	0
LG-41149	17	1	18	12892	16	1	0	0	0	0
LG-41150	86	1	87	8681	79	1	5	1	0	0
LG-41151	2063	16	2079	6723	2005	11	40	4	2	2
LG-41152	799	6	805	2603	776	4	15	1	1	1
LG-41153	3498	28	3525	11396	3398	19	67	6	3	4
LG-41154	417	3	420	42100	385	4	22	4	0	1
LG-41155	6167	49	6215	20093	5991	34	118	11	6	7
LG-41156	215	1	216	92119	198	7	7	2	1	0
LG-41157	11	0	11	37615	11	0	0	0	0	0
LG-41158	11	0	11	53728	10	1	0	0	0	0
LG-41159	21	0	21	44880	19	2	0	0	0	0
LG-41160	2672	21	2693	32144	2596	15	51	5	2	3
LG-41161	53	2	55	38825	47	5	1	0	0	0
LG-41162	12	0	12	31516	11	1	0	0	0	0
LG-42166	3960	49	4009	13258	3582	241	120	6	3	9
LG-42167	4324	53	4377	14477	3911	263	131	6	3	9
LG-42168	3348	41	3389	11208	3028	203	102	5	2	7
LG-42169	1317	16	1333	4409	1191	80	40	2	1	3
LG-42170	3200	39	3240	10714	2895	194	97	5	2	7
LG-43171	6122	132	6254	21531	5012	899	148	20	19	23
LG-43172	1379	30	1409	4851	1129	203	33	5	4	5
LG-43173	3577	77	3654	12581	2929	526	87	12	11	14
LG-43174	7946	171	8118	27948	6506	1168	193	26	24	30
LG-43175	1570	34	1604	5522	1285	231	38	5	5	6
LG-44176	114	2	116	4029	87	25	1	0	0	0
LG-44177	155	3	158	5491	119	35	1	0	0	0
LG-44178	696	13	708	24563	531	155	6	1	0	2
LG-44179	513	9	522	18113	391	115	5	1	0	1
LG-45163	14	1	15	4208	13	1	0	0	0	0
LG-45164	139	5	144	41772	130	7	0	1	0	1
LG-45165	33	1	35	10015	31	2	0	0	0	0
LG-51180	25544	377	25921	44024	21254	3487	599	52	85	69
LG-51181	7300	108	7408	12582	6074	996	171	15	24	20
LG-51182	11955	176	12132	20604	9947	1632	280	24	40	32
LG-51183	22308	336	22644	36098	19098	2352	685	46	52	75
LG-51184	20136	307	20444	30995	17603	1654	729	42	32	77
LG-51185	8082	123	8205	12440	7065	664	292	17	13	31
LG-51186	6870	105	6975	10574	6005	564	249	14	11	26
LG-51187	21475	424	21898	32145	20221	315	805	51	29	53
LG-51188	9093	134	9227	15671	7566	1241	213	18	30	25
LG-51189	8440	125	8564	14545	7022	1152	198	17	28	23
LG-51190	8732	172	8904	13071	8223	128	327	21	12	22
LG-51191	12792	252	13044	19149	12045	188	479	30	18	32
LG-52192	36510	352	36862	50248	31511	4092	701	58	70	78
LG-52193	10733	140	10873	14795	8685	1755	235	16	19	22
LG-52194	8772	191	8962	12193	4834	3790	70	26	25	27
LG-52195	21873	475	22348	30404	12054	9452	174	64	63	67
LG-52196	12223	216	12439	16990	8292	3677	170	28	25	31
LG-52197	21200	461	21660	29468	11683	9161	168	62	61	65
LG-52198	7570	164	7735	10523	4172	3271	60	22	22	23
LG-52199	8388	182	8570	11659	4622	3624	67	25	24	26
LG-52200	6648	144	6792	9241	3664	2873	53	19	19	20
LG-52201	6213	78	6291	8482	5039	988	150	8	15	13
LG-52202	20059	253	20312	27386	16271	3190	484	26	47	42
LG-52203	4772	60	4832	6514	3870	759	115	6	11	10
LG-52204	2231	29	2259	3058	1808	359	52	3	5	5
LG-52205	11493	155	11648	15974	9281	1925	230	19	14	24
LG-52206	13858	187	14045	19253	11193	2318	279	22	18	29
LG-52207	7415	100	7515	10306	5988	1242	148	12	9	16
LG-52208	2943	40	2983	4091	2377	493	59	5	4	6
LG-52209	5560	75	5635	7727	4490	931	111	9	7	12
LG-52210	8704	117	8821	12097	7029	1458	174	14	11	18
LG-52211	8346	113	8459	11600	6740	1398	167	14	10	17
LG-53212	13088	211	13299	26164	11201	1521	270	43	20	33
LG-53213	9919	129	10048	16106	6687	2914	246	19	21	31
LG-53214	3627	70	3698	6002	2265	1288	46	9	7	12
LG-53215	4334	84	4418	7171	2707	1539	54	11	8	15
LG-53216	14880	288	15169	24621	9293	5285	187	38	27	50
LG-53217	2533	49	2582	4192	1582	900	32	7	5	9
LG-53218	2347	45	2393	3883	1466	834	29	6	4	8
LG-53219	3778	73	3851	6251	2359	1342	47	10	7	13
LG-53220	11434	185	11619	22858	9785	1329	236	38	17	29
LG-53221	8356	135	8491	16704	7151	971	172	28	13	21
LG-53222	7860	115	7975	13145	5386	2244	173	17	16	24
LG-53223	15273	198	15471	24799	10297	4487	379	30	33	48
LG-53224	7510	97	7607	12194	5063	2206	186	15	16	24
LG-61225	9128	147	9275	12770	5330	3672	41	34	33	20
LG-61226	2255	33	2288	2926	1253	972	12	7	6	4
LG-61227	13004	211	13215	17179	8116	4679	93	40	32	43
LG-61228	33474	543	34017	44221	20892	12046	239	104	82	111
LG-61229	31050	518	31568	41195	18446	12154	204	87	67	93
LG-61230	34306	583	34889	45050	21265	12537	206	101	82	115
LG-61231	14761	251	15012	19384	9150	5395	88	44	35	49
LG-61232	32646	548	33194	43360	19139	13047	209	89	67	95
LG-61233	49891	919	50810	67182	28159	20880	405	178	121	148
LG-61234	41012	610	41622	53579	25612	14862	231	118	87	102
LG-61235	39200	515	39715	52667	23158	15482	234	114	103	109
LG-61236	26033	254	26287	33252	14897	10837	127	59	56	57
LG-61237	21809	213	22022	27855	12480	9078	106	50	47	48
LG-61238	53214	651	53865	68616	33528	19095	224	152	114	101
LG-61239	51094	740	51834	66307	28385	22027	283	160	140	100
LG-61240	27498	392	27890	36659	16198	10941	130	90	80	59
LG-61241	24308	346	24654	32405	14318	9672	114	80	71	53
LG-61242	41062	647	41709	55872	23447	17030	216	165	108	96
LG-61243	53659	910	54569	73718	32009	20836	304	204	174	132
LG-61244	24967	456	25423	33285	15404	9133	191	97	68	74
LG-61245	35350	699	36049	49109	20241	14374	322	142	100	171
